DATE,LA21_NAME,LA21_CD,NO_QUALIFICATIONS,APPRENTICESHIP,LEVEL_4_QUALIFICATIONS_OR_ABOVE,DISTRICT TOTAL,NO_QUALIFICATIONS_PCT,NO_QUALIFICATIONS_INDEX,APPRENTICESHIP_PCT,APPRENTICESHIP_INDEX,LEVEL_4_QUALIFICATIONS_OR_ABOVE_PCT,LEVEL_4_QUALIFICATIONS_OR_ABOVE_INDEX
2023,North Norfolk,E07000147,122,17,172,484,0.25,1.27,0.04,1.81,0.36,0.83
2023,King's Lynn and West Norfolk,E07000146,315,42,1344,2276,0.14,0.7,0.02,0.95,0.59,1.38
2023,Great Yarmouth,E07000145,303,40,834,1523,0.2,1,0.03,1.35,0.55,1.28
2023,Broadland,E07000144,268,45,741,1510,0.18,0.9,0.03,1.53,0.49,1.15
2023,Breckland,E07000143,226,30,439,1099,0.21,1.04,0.03,1.4,0.4,0.93
2023,Watford,E07000103,2294,261,10313,18516,0.12,0.63,0.01,0.73,0.56,1.3
2023,Three Rivers,E07000102,735,113,7576,10970,0.07,0.34,0.01,0.53,0.69,1.61
2023,North Hertfordshire,E07000099,859,74,3017,5641,0.15,0.77,0.01,0.67,0.53,1.25
2023,Hertsmere,E07000098,808,117,5616,8839,0.09,0.46,0.01,0.68,0.64,1.49
2023,Dacorum,E07000096,967,111,3592,6942,0.14,0.7,0.02,0.82,0.52,1.21
2023,Broxbourne,E07000095,317,58,1646,2888,0.11,0.55,0.02,1.03,0.57,1.33
2023,Uttlesford,E07000077,162,29,786,1414,0.11,0.58,0.02,1.06,0.56,1.3
2023,Tendring,E07000076,339,40,569,1459,0.23,1.17,0.03,1.41,0.39,0.91
2023,Rochford,E07000075,147,22,516,975,0.15,0.76,0.02,1.16,0.53,1.24
2023,Maldon,E07000074,124,11,273,622,0.2,1.01,0.02,0.91,0.44,1.03
2023,Harlow,E07000073,599,86,2272,4166,0.14,0.73,0.02,1.06,0.55,1.27
2023,Epping Forest,E07000072,769,111,4688,7739,0.1,0.5,0.01,0.74,0.61,1.42
2023,Colchester,E07000071,863,143,4278,7993,0.11,0.55,0.02,0.92,0.54,1.25
2023,Chelmsford,E07000070,618,101,4769,7245,0.09,0.43,0.01,0.72,0.66,1.54
2023,Castle Point,E07000069,239,24,588,1258,0.19,0.96,0.02,0.98,0.47,1.09
2023,Brentwood,E07000068,258,36,2057,3093,0.08,0.42,0.01,0.6,0.67,1.55
2023,Braintree,E07000067,323,49,982,2070,0.16,0.79,0.02,1.22,0.47,1.11
2023,Basildon,E07000066,659,88,3751,6011,0.11,0.55,0.01,0.75,0.62,1.46
2023,South Cambridgeshire,E07000012,432,74,5221,7100,0.06,0.31,0.01,0.54,0.74,1.72
2023,Huntingdonshire,E07000011,714,103,2354,4498,0.16,0.8,0.02,1.18,0.52,1.22
2023,Fenland,E07000010,226,38,420,1049,0.22,1.09,0.04,1.86,0.4,0.94
2023,East Cambridgeshire,E07000009,183,28,844,1386,0.13,0.67,0.02,1.04,0.61,1.42
2023,Cambridge,E07000008,1668,178,11091,18371,0.09,0.46,0.01,0.5,0.6,1.41
2023,Central Bedfordshire,E06000056,973,161,4717,8248,0.12,0.6,0.02,1,0.57,1.34
2023,Bedford,E06000055,3776,370,6469,17429,0.22,1.09,0.02,1.09,0.37,0.87
2023,Thurrock,E06000034,1404,157,4224,8909,0.16,0.8,0.02,0.91,0.47,1.11
2023,Southend-on-Sea,E06000033,1283,147,3514,7394,0.17,0.88,0.02,1.02,0.48,1.11
2023,Luton,E06000032,13968,1096,19945,58596,0.24,1.2,0.02,0.96,0.34,0.8
2023,Peterborough,E06000031,5579,466,7233,21872,0.26,1.29,0.02,1.1,0.33,0.77
2023,Wolverhampton,E08000031,10766,1035,14233,43385,0.25,1.25,0.02,1.23,0.33,0.77
2023,Walsall,E08000030,10147,745,11985,38907,0.26,1.32,0.02,0.99,0.31,0.72
2023,Solihull,E08000029,1955,234,10278,17651,0.11,0.56,0.01,0.68,0.58,1.36
2023,Sandwell,E08000028,18809,1508,17607,64946,0.29,1.46,0.02,1.19,0.27,0.63
2023,Dudley,E08000027,4874,467,6309,19620,0.25,1.25,0.02,1.22,0.32,0.75
2023,Coventry,E08000026,8966,1003,20349,49810,0.18,0.91,0.02,1.04,0.41,0.96
2023,Birmingham,E08000025,68962,4646,77848,257770,0.27,1.35,0.02,0.93,0.3,0.71
2023,Wyre Forest,E07000239,325,36,515,1435,0.23,1.14,0.03,1.29,0.36,0.84
2023,Wychavon,E07000238,205,26,615,1253,0.16,0.83,0.02,1.07,0.49,1.15
2023,Worcester,E07000237,923,92,1637,4236,0.22,1.1,0.02,1.12,0.39,0.9
2023,Redditch,E07000236,849,61,1270,3628,0.23,1.18,0.02,0.86,0.35,0.82
2023,Malvern Hills,E07000235,174,22,373,840,0.21,1.05,0.03,1.35,0.44,1.04
2023,Bromsgrove,E07000234,272,31,1390,2431,0.11,0.56,0.01,0.66,0.57,1.34
2023,Warwick,E07000222,1479,167,6272,11788,0.13,0.63,0.01,0.73,0.53,1.24
2023,Stratford-on-Avon,E07000221,257,34,1254,2078,0.12,0.62,0.02,0.84,0.6,1.41
2023,Rugby,E07000220,795,190,3626,6644,0.12,0.6,0.03,1.47,0.55,1.28
2023,Nuneaton and Bedworth,E07000219,1890,179,3155,8523,0.22,1.12,0.02,1.08,0.37,0.87
2023,North Warwickshire,E07000218,112,20,326,689,0.16,0.82,0.03,1.49,0.47,1.11
2023,Tamworth,E07000199,162,16,397,897,0.18,0.91,0.02,0.92,0.44,1.03
2023,Staffordshire Moorlands,E07000198,102,16,251,531,0.19,0.97,0.03,1.55,0.47,1.11
2023,Stafford,E07000197,343,141,1769,3216,0.11,0.54,0.04,2.26,0.55,1.29
2023,South Staffordshire,E07000196,386,66,1211,2585,0.15,0.75,0.03,1.31,0.47,1.1
2023,Newcastle-under-Lyme,E07000195,358,77,1790,3710,0.1,0.49,0.02,1.07,0.48,1.13
2023,Lichfield,E07000194,268,45,1101,2044,0.13,0.66,0.02,1.13,0.54,1.26
2023,East Staffordshire,E07000193,2081,161,2351,7902,0.26,1.33,0.02,1.05,0.3,0.7
2023,Cannock Chase,E07000192,219,17,385,990,0.22,1.12,0.02,0.88,0.39,0.91
2023,Shropshire,E06000051,532,71,1770,3547,0.15,0.76,0.02,1.03,0.5,1.17
2023,Stoke-on-Trent,E06000021,4682,353,5260,17461,0.27,1.35,0.02,1.04,0.3,0.7
2023,Telford and Wrekin,E06000020,1551,142,2849,7540,0.21,1.04,0.02,0.97,0.38,0.88
2023,"Herefordshire, County of",E06000019,268,46,945,1771,0.15,0.76,0.03,1.34,0.53,1.25
2023,Rushcliffe,E07000176,547,66,3150,5240,0.1,0.53,0.01,0.65,0.6,1.41
2023,Newark and Sherwood,E07000175,220,35,526,1172,0.19,0.95,0.03,1.54,0.45,1.05
2023,Mansfield,E07000174,327,39,769,1661,0.2,0.99,0.02,1.21,0.46,1.08
2023,Gedling,E07000173,513,58,1800,3519,0.15,0.74,0.02,0.85,0.51,1.2
2023,Broxtowe,E07000172,627,81,2677,5029,0.12,0.63,0.02,0.83,0.53,1.24
2023,Bassetlaw,E07000171,204,32,503,1150,0.18,0.9,0.03,1.43,0.44,1.02
2023,Ashfield,E07000170,281,35,716,1502,0.19,0.94,0.02,1.2,0.48,1.11
2023,West Lindsey,E07000142,119,19,513,898,0.13,0.67,0.02,1.09,0.57,1.34
2023,South Kesteven,E07000141,300,47,1045,1951,0.15,0.78,0.02,1.24,0.54,1.25
2023,South Holland,E07000140,160,21,401,899,0.18,0.9,0.02,1.2,0.45,1.04
2023,North Kesteven,E07000139,181,23,441,951,0.19,0.96,0.02,1.24,0.46,1.08
2023,Lincoln,E07000138,451,52,1201,2788,0.16,0.82,0.02,0.96,0.43,1.01
2023,East Lindsey,E07000137,233,26,356,916,0.25,1.28,0.03,1.46,0.39,0.91
2023,Boston,E07000136,150,23,636,1104,0.14,0.69,0.02,1.07,0.58,1.35
2023,Oadby and Wigston,E07000135,1824,225,5840,12581,0.14,0.73,0.02,0.92,0.46,1.09
2023,North West Leicestershire,E07000134,178,30,657,1288,0.14,0.7,0.02,1.2,0.51,1.19
2023,Melton,E07000133,108,16,199,505,0.21,1.08,0.03,1.63,0.39,0.92
2023,Hinckley and Bosworth,E07000132,369,44,1277,2536,0.15,0.73,0.02,0.89,0.5,1.18
2023,Harborough,E07000131,469,54,2404,4158,0.11,0.57,0.01,0.67,0.58,1.35
2023,Charnwood,E07000130,2865,306,8265,18663,0.15,0.78,0.02,0.84,0.44,1.04
2023,Blaby,E07000129,1072,143,3272,6828,0.16,0.79,0.02,1.08,0.48,1.12
2023,South Derbyshire,E07000039,494,64,1443,3047,0.16,0.82,0.02,1.08,0.47,1.11
2023,North East Derbyshire,E07000038,133,19,351,754,0.18,0.89,0.03,1.3,0.47,1.09
2023,High Peak,E07000037,102,21,293,608,0.17,0.85,0.03,1.78,0.48,1.13
2023,Erewash,E07000036,252,39,641,1447,0.17,0.88,0.03,1.39,0.44,1.04
2023,Derbyshire Dales,E07000035,62,15,206,471,0.13,0.66,0.03,1.64,0.44,1.02
2023,Chesterfield,E07000034,325,29,658,1507,0.22,1.09,0.02,0.99,0.44,1.02
2023,Bolsover,E07000033,124,12,260,603,0.21,1.04,0.02,1.02,0.43,1.01
2023,Amber Valley,E07000032,169,24,494,980,0.17,0.87,0.02,1.26,0.5,1.18
2023,West Northamptonshire,E06000062,3136,327,8104,17327,0.18,0.91,0.02,0.97,0.47,1.09
2023,North Northamptonshire,E06000061,2101,203,4316,10046,0.21,1.06,0.02,1.04,0.43,1
2023,Nottingham,E06000018,6810,751,13751,37161,0.18,0.93,0.02,1.04,0.37,0.87
2023,Rutland,E06000017,82,9,222,490,0.17,0.84,0.02,0.94,0.45,1.06
2023,Leicester,E06000016,38133,2676,34037,125271,0.3,1.54,0.02,1.1,0.27,0.64
2023,Derby,E06000015,7446,728,10097,30279,0.25,1.24,0.02,1.24,0.33,0.78
2023,Wakefield,E08000036,2257,197,3272,9072,0.25,1.26,0.02,1.12,0.36,0.84
2023,Leeds,E08000035,11999,1251,24570,59066,0.2,1.03,0.02,1.09,0.42,0.97
2023,Kirklees,E08000034,17329,1136,16506,60247,0.29,1.45,0.02,0.97,0.27,0.64
2023,Calderdale,E08000033,4340,263,4418,15202,0.29,1.44,0.02,0.89,0.29,0.68
2023,Bradford,E08000032,36780,2497,30286,122398,0.3,1.52,0.02,1.05,0.25,0.58
2023,Sheffield,E08000019,9200,842,15502,40544,0.23,1.15,0.02,1.07,0.38,0.89
2023,Rotherham,E08000018,2812,184,3036,10049,0.28,1.41,0.02,0.94,0.3,0.71
2023,Doncaster,E08000017,1775,203,2214,6894,0.26,1.3,0.03,1.51,0.32,0.75
2023,Barnsley,E08000016,453,51,697,1784,0.25,1.28,0.03,1.47,0.39,0.91
2023,North Yorkshire,E06000065,1380,304,2922,6683,0.21,1.04,0.05,2.34,0.44,1.02
2023,York,E06000014,657,209,3731,6654,0.1,0.5,0.03,1.62,0.56,1.31
2023,North Lincolnshire,E06000013,1153,126,1394,4243,0.27,1.37,0.03,1.53,0.33,0.77
2023,North East Lincolnshire,E06000012,432,55,798,1846,0.23,1.18,0.03,1.53,0.43,1.01
2023,East Riding of Yorkshire,E06000011,494,85,1595,2971,0.17,0.84,0.03,1.47,0.54,1.26
2023,"Kingston upon Hull, City of",E06000010,1274,153,2397,5664,0.22,1.14,0.03,1.39,0.42,0.99
2023,Wirral,E08000015,1124,136,2563,5609,0.2,1.01,0.02,1.25,0.46,1.07
2023,Sefton,E08000014,675,93,1562,3451,0.2,0.99,0.03,1.39,0.45,1.06
2023,St. Helens,E08000013,423,51,916,2025,0.21,1.05,0.03,1.3,0.45,1.06
2023,Liverpool,E08000012,4333,486,9783,21965,0.2,1,0.02,1.14,0.45,1.04
2023,Knowsley,E08000011,271,37,1006,1896,0.14,0.72,0.02,1,0.53,1.24
2023,Wigan,E08000010,964,118,1965,4381,0.22,1.11,0.03,1.39,0.45,1.05
2023,Trafford,E08000009,2944,345,11404,20979,0.14,0.71,0.02,0.85,0.54,1.27
2023,Tameside,E08000008,4018,374,4744,15196,0.26,1.33,0.02,1.27,0.31,0.73
2023,Stockport,E08000007,2454,257,8524,16162,0.15,0.77,0.02,0.82,0.53,1.23
2023,Salford,E08000006,1866,234,6385,11859,0.16,0.79,0.02,1.02,0.54,1.26
2023,Rochdale,E08000005,8227,559,8504,29109,0.28,1.43,0.02,0.99,0.29,0.68
2023,Oldham,E08000004,12925,865,9136,40365,0.32,1.62,0.02,1.1,0.23,0.53
2023,Manchester,E08000003,18197,1587,32859,84506,0.22,1.09,0.02,0.97,0.39,0.91
2023,Bury,E08000002,3677,267,5027,14555,0.25,1.28,0.02,0.94,0.35,0.81
2023,Bolton,E08000001,12129,767,12165,41915,0.29,1.46,0.02,0.94,0.29,0.68
2023,Wyre,E07000128,186,28,389,892,0.21,1.05,0.03,1.61,0.44,1.02
2023,West Lancashire,E07000127,180,28,466,1046,0.17,0.87,0.03,1.38,0.45,1.04
2023,South Ribble,E07000126,304,37,845,1816,0.17,0.85,0.02,1.05,0.47,1.09
2023,Rossendale,E07000125,762,51,769,2768,0.28,1.39,0.02,0.95,0.28,0.65
2023,Ribble Valley,E07000124,163,21,486,964,0.17,0.85,0.02,1.12,0.5,1.18
2023,Preston,E07000123,4560,416,8363,22410,0.2,1.03,0.02,0.96,0.37,0.87
2023,Pendle,E07000122,5929,339,3894,17405,0.34,1.72,0.02,1,0.22,0.52
2023,Lancaster,E07000121,493,59,2007,4374,0.11,0.57,0.01,0.69,0.46,1.07
2023,Hyndburn,E07000120,2706,171,1864,8400,0.32,1.63,0.02,1.05,0.22,0.52
2023,Fylde,E07000119,138,23,498,961,0.14,0.73,0.02,1.23,0.52,1.21
2023,Chorley,E07000118,328,31,732,1711,0.19,0.97,0.02,0.93,0.43,1
2023,Burnley,E07000117,3000,205,2345,9586,0.31,1.58,0.02,1.1,0.24,0.57
2023,Westmorland and Furness,E06000064,330,43,918,1812,0.18,0.92,0.02,1.22,0.51,1.18
2023,Cumberland,E06000063,512,67,1036,2271,0.23,1.14,0.03,1.52,0.46,1.07
2023,Cheshire West and Chester,E06000050,845,109,3140,5671,0.15,0.75,0.02,0.99,0.55,1.29
2023,Cheshire East,E06000049,1143,186,4409,7631,0.15,0.76,0.02,1.25,0.58,1.35
2023,Blackpool,E06000009,587,77,1357,2933,0.2,1.01,0.03,1.35,0.46,1.08
2023,Blackburn with Darwen,E06000008,10779,728,10568,38919,0.28,1.4,0.02,0.96,0.27,0.63
2023,Warrington,E06000007,859,75,2855,5250,0.16,0.83,0.01,0.73,0.54,1.27
2023,Halton,E06000006,252,25,524,1142,0.22,1.11,0.02,1.13,0.46,1.07
2023,Gateshead,E08000037,852,66,1716,3777,0.23,1.14,0.02,0.9,0.45,1.06
2023,Sunderland,E08000024,1232,155,2649,6139,0.2,1.01,0.03,1.3,0.43,1.01
2023,South Tyneside,E08000023,745,81,1127,3135,0.24,1.2,0.03,1.33,0.36,0.84
2023,North Tyneside,E08000022,761,75,2094,4127,0.18,0.93,0.02,0.93,0.51,1.19
2023,Newcastle upon Tyne,E08000021,5126,442,12175,26227,0.2,0.99,0.02,0.87,0.46,1.09
2023,Northumberland,E06000057,545,59,1277,2713,0.2,1.01,0.02,1.12,0.47,1.1
2023,County Durham,E06000047,1010,128,3173,6740,0.15,0.76,0.02,0.98,0.47,1.1
2023,Darlington,E06000005,468,79,950,2231,0.21,1.06,0.04,1.82,0.43,1
2023,Stockton-on-Tees,E06000004,1491,105,2682,6615,0.23,1.14,0.02,0.82,0.41,0.95
2023,Redcar and Cleveland,E06000003,227,25,327,902,0.25,1.27,0.03,1.43,0.36,0.85
2023,Middlesbrough,E06000002,2757,285,4094,11159,0.25,1.25,0.03,1.31,0.37,0.86
2023,TOTAL,,832505,81702,1798011,4203246,0.2,1,0.02,1,0.43,1